metrics	av_accuracy	av_time	accuracy	time
['3' 'relief' 'inverse_distance' 'minkowski']	0.5095098265758959	0.1630486488342285	"[0.4893617  0.55026455 0.47089947 0.51322751 0.46031746 0.51578947
 0.53439153 0.56084656 0.47340426 0.52659574]"	"[0.16165185 0.16296935 0.1625638  0.16455173 0.1594758  0.16323614
 0.16485858 0.16221499 0.16495204 0.16401219]"
['3' 'relief' 'inverse_distance' 'euclidean']	0.5105708419986136	0.16220240592956542	"[0.49468085 0.55026455 0.49206349 0.5026455  0.46031746 0.51578947
 0.52910053 0.56084656 0.47340426 0.52659574]"	"[0.16042161 0.16179729 0.1660428  0.16165781 0.16128945 0.16201067
 0.16140509 0.16126966 0.16526437 0.16086531]"
['3' 'relief' 'inverse_distance' 'chebyshev']	0.5148260722728808	1.2504438877105712	"[0.5212766  0.55026455 0.51851852 0.4973545  0.49206349 0.5
 0.50793651 0.56084656 0.47340426 0.52659574]"	"[1.22911453 1.22942901 1.22358966 1.22244811 1.22967434 1.34719229
 1.24112177 1.24482179 1.3152926  1.22175479]"
['3' 'relief' 'sheppard_work' 'minkowski']	0.4909322952772001	0.16344220638275148	"[0.45212766 0.55555556 0.42328042 0.53439153 0.47619048 0.53157895
 0.48148148 0.51322751 0.45212766 0.4893617 ]"	"[0.16261387 0.16282368 0.16338181 0.16376019 0.16025209 0.16864634
 0.16451693 0.16305542 0.16343355 0.16193819]"
['3' 'relief' 'sheppard_work' 'euclidean']	0.4925224112290182	0.162725567817688	"[0.45744681 0.55555556 0.44444444 0.52380952 0.48148148 0.53157895
 0.47619048 0.51322751 0.45212766 0.4893617 ]"	"[0.16084933 0.16269159 0.1621573  0.1622417  0.16605687 0.16343069
 0.16285348 0.16262531 0.16355944 0.16078997]"
['3' 'relief' 'sheppard_work' 'chebyshev']	0.4994260473879735	1.3024107933044433	"[0.50531915 0.55555556 0.46031746 0.5026455  0.50793651 0.53157895
 0.47619048 0.51322751 0.45212766 0.4893617 ]"	"[1.2486558  1.31254482 1.24576283 1.24049425 1.31107998 1.26114464
 1.4269526  1.35886073 1.32748151 1.29113078]"
['5' 'equal' 'majority_class' 'minkowski']	0.9671646018118583	0.16837477684020996	"[0.96276596 0.96825397 0.95767196 0.96296296 0.96825397 0.96315789
 0.96825397 0.97883598 0.9787234  0.96276596]"	"[0.21941781 0.16082144 0.1583488  0.1560204  0.15615869 0.15961647
 0.15634942 0.19914484 0.16082358 0.15704632]"
['5' 'equal' 'majority_class' 'euclidean']	0.9666355309076474	0.16057064533233642	"[0.96808511 0.95767196 0.94179894 0.96825397 0.97354497 0.96842105
 0.96825397 0.97883598 0.97340426 0.96808511]"	"[0.16114211 0.15972185 0.1601789  0.16066694 0.16472459 0.1609776
 0.16169834 0.15957212 0.15814686 0.15887713]"
['5' 'equal' 'majority_class' 'chebyshev']	0.9660952321702603	1.219895100593567	"[0.96276596 0.96296296 0.94179894 0.97354497 0.95238095 0.97894737
 0.97354497 0.97883598 0.96276596 0.97340426]"	"[1.22255135 1.21039796 1.21437263 1.2106061  1.21249652 1.22589874
 1.24261403 1.21937823 1.22085953 1.21977592]"
['5' 'equal' 'inverse_distance' 'minkowski']	0.4734970700984139	0.1582641839981079	"[0.49468085 0.47619048 0.48148148 0.43915344 0.48677249 0.48947368
 0.48148148 0.48148148 0.42553191 0.4787234 ]"	"[0.15695262 0.15930653 0.15720606 0.1579566  0.16736031 0.15734363
 0.15748906 0.15673685 0.15575123 0.15653896]"
['5' 'equal' 'inverse_distance' 'euclidean']	0.478264573964462	0.17122466564178468	"[0.46808511 0.47089947 0.52380952 0.45502646 0.46031746 0.48421053
 0.47619048 0.50793651 0.47340426 0.46276596]"	"[0.16462636 0.16385078 0.16290355 0.21119905 0.19481754 0.16383147
 0.1650331  0.16326618 0.1617074  0.16101122]"
['5' 'equal' 'inverse_distance' 'chebyshev']	0.49200187229302567	1.2516143321990967	"[0.4893617  0.43915344 0.51322751 0.49206349 0.4973545  0.55263158
 0.50793651 0.48148148 0.44680851 0.5       ]"	"[1.31128716 1.23339367 1.2331953  1.22769165 1.3494432  1.23608565
 1.22662377 1.22458506 1.242208   1.23162985]"
