metrics	av_accuracy	av_time	accuracy	time
['5' 'equal' 'majority_class' 'minkowski']	0.9350627746319603	0.8445599555969239	"[0.944      0.93121693 0.94164456 0.92572944 0.93915344 0.92592593
 0.92063492 0.93121693 0.94429708 0.94680851]"	"[0.78824496 0.80766273 0.85537601 1.10545802 0.79751492 0.79073715
 0.78523612 0.77970791 0.87266374 0.86299801]"
['5' 'equal' 'majority_class' 'euclidean']	0.9334719494602842	0.8864114999771118	"[0.94133333 0.93121693 0.94164456 0.92838196 0.93650794 0.91798942
 0.91798942 0.93386243 0.94164456 0.94414894]"	"[0.95734143 0.77436352 0.78092694 1.10778403 0.8061595  0.9231739
 0.78593755 0.95006466 0.86801505 0.91034842]"
['5' 'equal' 'majority_class' 'chebyshev']	0.9308194146062085	10.5215913772583	"[0.93866667 0.93121693 0.94164456 0.92572944 0.93386243 0.92328042
 0.91798942 0.92328042 0.93103448 0.94148936]"	"[10.20157266 10.18865705  9.9496665  10.57284498 10.58182812 11.87113357
  9.52446938 10.71385455 10.91817164 10.69371533]"
['5' 'equal' 'inverse_distance' 'minkowski']	0.4169776214275114	0.8422727346420288	"[0.42933333 0.4021164  0.39522546 0.45623342 0.42857143 0.41269841
 0.39153439 0.49470899 0.48275862 0.27659574]"	"[0.77535939 0.78595448 0.79253292 0.78697228 0.78086805 0.99365115
 0.93653107 0.76430941 1.03791118 0.76863742]"
['5' 'equal' 'inverse_distance' 'euclidean']	0.39230393751244813	0.7819504261016845	"[0.34933333 0.39153439 0.38461538 0.44827586 0.38624339 0.38624339
 0.38624339 0.43915344 0.47480106 0.27659574]"	"[0.75221777 0.76291561 0.76205707 0.77061892 0.7859776  0.8117826
 0.79634571 0.77240801 0.78337932 0.82180166]"
['5' 'equal' 'inverse_distance' 'chebyshev']	0.3772409365070407	10.271896457672119	"[0.38933333 0.42592593 0.37400531 0.40848806 0.37566138 0.35185185
 0.34920635 0.39417989 0.3872679  0.31648936]"	"[ 9.77766395 10.67552042 10.9896245  10.19605136  9.91640472  9.71511817
 10.05980206 10.2920506  10.7673192  10.3294096 ]"
['5' 'equal' 'sheppard_work' 'minkowski']	0.4169776214275114	0.8647864818572998	"[0.42933333 0.4021164  0.39522546 0.45623342 0.42857143 0.41269841
 0.39153439 0.49470899 0.48275862 0.27659574]"	"[0.83936357 0.95026326 1.07140088 0.91070056 0.89743638 0.77257872
 0.90710211 0.77692151 0.75929523 0.7628026 ]"
['5' 'equal' 'sheppard_work' 'euclidean']	0.39230393751244813	0.8610674142837524	"[0.34933333 0.39153439 0.38461538 0.44827586 0.38624339 0.38624339
 0.38624339 0.43915344 0.47480106 0.27659574]"	"[0.77908492 0.77805877 0.83368754 1.03671551 0.79121709 0.8094151
 0.79361367 0.80096793 1.05369711 0.9342165 ]"
['5' 'equal' 'sheppard_work' 'chebyshev']	0.3777707387609809	10.14055507183075	"[0.38933333 0.42592593 0.37400531 0.41114058 0.37566138 0.35185185
 0.35185185 0.39417989 0.3872679  0.31648936]"	"[ 9.69602203  9.54517579  9.37832761 10.26411629 10.1882093  10.39530325
 10.67853594 10.69557142 10.78704333  9.77724576]"
['5' 'mutual_info' 'majority_class' 'minkowski']	0.9594435809645642	0.9156849145889282	"[0.95466667 0.95238095 0.95490716 0.96551724 0.96825397 0.96296296
 0.95238095 0.94179894 0.97082228 0.97074468]"	"[0.79515028 1.09171104 1.10163736 0.79535985 0.80075002 0.89557266
 0.9369247  1.10813665 0.787462   0.84414458]"
